ID,OFFER_ID,TYPE,AMOUNT,CREATED_AT,UPDATED_AT
805299,768495,OfferReward::Fact,4,2021-03-24 22:13:00.000,2021-03-24 22:13:00.000
805297,768494,OfferReward::Fact,4,2021-03-24 22:12:54.000,2021-03-24 22:12:54.000
805298,768493,OfferReward::Fact,4,2021-03-24 22:12:54.000,2021-03-24 22:12:54.000
805296,768492,OfferReward::Fact,4,2021-03-24 22:12:51.000,2021-03-24 22:12:51.000
805295,768491,OfferReward::Fact,4,2021-03-24 22:12:47.000,2021-03-24 22:12:47.000
805294,768490,OfferReward::Fact,4,2021-03-24 22:10:51.000,2021-03-24 22:10:51.000
805293,768489,OfferReward::Fact,4,2021-03-24 22:10:49.000,2021-03-24 22:10:49.000
805292,768488,OfferReward::Fact,4,2021-03-24 22:10:45.000,2021-03-24 22:10:45.000
805291,768487,OfferReward::Fact,4,2021-03-24 22:09:31.000,2021-03-24 22:09:31.000
805290,768486,OfferReward::Fact,4,2021-03-24 22:09:27.000,2021-03-24 22:09:27.000
805289,768485,OfferReward::Fact,4,2021-03-24 22:09:27.000,2021-03-24 22:09:27.000
805288,768484,OfferReward::Fact,4,2021-03-24 22:09:23.000,2021-03-24 22:09:23.000
805287,768483,OfferReward::Fact,4,2021-03-24 22:09:00.000,2021-03-24 22:09:00.000
805286,768482,OfferReward::Fact,4,2021-03-24 22:08:56.000,2021-03-24 22:08:56.000
805285,768481,OfferReward::Fact,4,2021-03-24 22:08:47.000,2021-03-24 22:21:34.000
805284,768480,OfferReward::Fact,1,2021-03-24 22:08:34.000,2021-03-24 22:08:34.000
805283,768479,OfferReward::Fact,4,2021-03-24 22:07:04.000,2021-03-24 22:07:04.000
805282,768478,OfferReward::Fact,4,2021-03-24 22:06:19.000,2021-03-24 22:06:19.000
805281,768477,OfferReward::Fact,4,2021-03-24 22:06:09.000,2021-03-24 22:06:09.000
805280,768476,OfferReward::Fact,4,2021-03-24 22:05:28.000,2021-03-24 22:05:28.000
805279,768475,OfferReward::Fact,4,2021-03-24 22:05:25.000,2021-03-24 22:05:25.000
805278,768474,OfferReward::Fact,4,2021-03-24 22:05:22.000,2021-03-24 22:05:22.000
805277,768473,OfferReward::Fact,4,2021-03-24 22:03:04.000,2021-03-24 22:03:04.000
805276,768472,OfferReward::Fact,4,2021-03-24 22:03:00.000,2021-03-24 22:03:00.000
805275,768471,OfferReward::Fact,4,2021-03-24 22:02:57.000,2021-03-24 22:02:57.000
805274,768470,OfferReward::Fact,2,2021-03-24 22:02:48.000,2021-03-24 22:02:48.000
805273,768469,OfferReward::Fact,4,2021-03-24 22:01:32.000,2021-03-24 22:01:32.000
805272,768468,OfferReward::Fact,4,2021-03-24 22:01:29.000,2021-03-24 22:01:29.000
805271,768467,OfferReward::Fact,4,2021-03-24 22:01:26.000,2021-03-24 22:01:26.000
805270,768466,OfferReward::Fact,4,2021-03-24 22:01:24.000,2021-03-24 22:01:24.000
805269,768465,OfferReward::Instant,3,2021-03-24 22:01:13.000,2021-03-24 22:08:03.000
805268,768464,OfferReward::Fact,2,2021-03-24 22:00:18.000,2021-03-24 22:00:18.000
805267,768463,OfferReward::Fact,4,2021-03-24 21:59:47.000,2021-03-24 21:59:47.000
805266,768462,OfferReward::ShopNow,0,2021-03-24 21:58:57.000,2021-03-24 21:58:57.000
805265,768461,OfferReward::Fact,4,2021-03-24 21:58:50.000,2021-03-24 21:58:50.000
805264,768460,OfferReward::Fact,4,2021-03-24 21:57:52.000,2021-03-24 21:57:52.000
